Ticker,CompanyName,CompanyCategory,Date,TtmNetIncome,ShareholdersEquity,PreviousRoe,PercentChangeInRoe,PercentOfPositiveWords,PercentOfNegativeWords,PercentOfLitiguousWords,PercentOfConstrainingWords,PercentOfStrongModalWords,PercentOfWeakModalWords,PercentOfUncertaintyWords
TRUE,truecar,Internet Services,3/31/2016,$-0.07B,$0.23B,-26.72,2.432634731,5.968436155,32.33859397,18.59397418,11.44906743,2.152080344,11.44906743,18.04878049
TRUE,truecar,Internet Services,12/31/2015,$-0.07B,$0.23B,-19.41,37.66099948,5.370537054,30.78307831,17.07170717,12.15121512,2.610261026,12.15121512,19.8619862
TRUE,truecar,Internet Services,9/30/2015,$-0.05B,$0.24B,-21.23,-8.572774376,5.370537054,30.78307831,17.07170717,12.15121512,2.610261026,12.15121512,19.8619862
TRUE,truecar,Internet Services,6/30/2015,$-0.05B,$0.25B,-21.94,-3.23609845,5.370537054,30.78307831,17.07170717,12.15121512,2.610261026,12.15121512,19.8619862
TRUE,truecar,Internet Services,3/31/2015,$-0.05B,$0.25B,-23.93,-8.315921438,5.370537054,30.78307831,17.07170717,12.15121512,2.610261026,12.15121512,19.8619862
LLNW,limelight-networks,Internet Services,12/31/2018,$0.01B,$0.17B,9.05,-30.93922652,7.053100932,26.79367653,12.07944872,14.18727199,3.242805026,14.18727199,22.45642481
LLNW,limelight-networks,Internet Services,9/30/2018,$0.01B,$0.17B,8.08,12.0049505,7.053100932,26.79367653,12.07944872,14.18727199,3.242805026,14.18727199,22.45642481
LLNW,limelight-networks,Internet Services,6/30/2018,$0.01B,$0.16B,-3.5,-330.8571429,7.053100932,26.79367653,12.07944872,14.18727199,3.242805026,14.18727199,22.45642481
LLNW,limelight-networks,Internet Services,3/31/2018,$-0.01B,$0.14B,-5.66,-38.16254417,7.053100932,26.79367653,12.07944872,14.18727199,3.242805026,14.18727199,22.45642481
LLNW,limelight-networks,Internet Services,12/31/2017,$-0.01B,$0.14B,-7.87,-28.08132147,6.567284448,28.04190169,10.95890411,14.34327156,3.344077357,14.34327156,22.40128928
LLNW,limelight-networks,Internet Services,9/30/2017,$-0.01B,$0.14B,-10.81,-27.19703978,6.567284448,28.04190169,10.95890411,14.34327156,3.344077357,14.34327156,22.40128928
LLNW,limelight-networks,Internet Services,6/30/2017,$-0.02B,$0.14B,-51.17,-78.87434043,6.567284448,28.04190169,10.95890411,14.34327156,3.344077357,14.34327156,22.40128928
LLNW,limelight-networks,Internet Services,3/31/2017,$-0.07B,$0.14B,-48.29,5.963967695,6.567284448,28.04190169,10.95890411,14.34327156,3.344077357,14.34327156,22.40128928
LLNW,limelight-networks,Internet Services,12/31/2016,$-0.07B,$0.14B,-43.98,9.79990905,6.761710794,27.98370672,10.14256619,14.62321792,2.810590631,14.62321792,23.05498982
LLNW,limelight-networks,Internet Services,9/30/2016,$-0.07B,$0.14B,-41.47,6.052568122,6.761710794,27.98370672,10.14256619,14.62321792,2.810590631,14.62321792,23.05498982
LLNW,limelight-networks,Internet Services,6/30/2016,$-0.08B,$0.14B,-12.06,243.8640133,6.761710794,27.98370672,10.14256619,14.62321792,2.810590631,14.62321792,23.05498982
LLNW,limelight-networks,Internet Services,3/31/2016,$-0.02B,$0.20B,-11.9,1.344537815,6.761710794,27.98370672,10.14256619,14.62321792,2.810590631,14.62321792,23.05498982
LLNW,limelight-networks,Internet Services,12/31/2015,$-0.02B,$0.20B,-12.18,-2.298850575,6.486042693,27.29885057,11.94581281,14.16256158,2.791461412,14.16256158,23.15270936
LLNW,limelight-networks,Internet Services,9/30/2015,$-0.03B,$0.20B,-10.44,16.66666667,6.486042693,27.29885057,11.94581281,14.16256158,2.791461412,14.16256158,23.15270936
LLNW,limelight-networks,Internet Services,6/30/2015,$-0.02B,$0.20B,-10.62,-1.694915254,6.486042693,27.29885057,11.94581281,14.16256158,2.791461412,14.16256158,23.15270936
LLNW,limelight-networks,Internet Services,3/31/2015,$-0.02B,$0.21B,-11.22,-5.347593583,6.486042693,27.29885057,11.94581281,14.16256158,2.791461412,14.16256158,23.15270936
LLNW,limelight-networks,Internet Services,12/31/2014,$-0.03B,$0.21B,-10.92,2.747252747,8.108108108,26.80639823,13.7617209,11.96911197,3.557639272,11.96911197,23.82790954
LLNW,limelight-networks,Internet Services,9/30/2014,$-0.03B,$0.22B,-13.25,-17.58490566,8.108108108,26.80639823,13.7617209,11.96911197,3.557639272,11.96911197,23.82790954
LLNW,limelight-networks,Internet Services,6/30/2014,$-0.03B,$0.23B,-14.66,-9.618008186,8.108108108,26.80639823,13.7617209,11.96911197,3.557639272,11.96911197,23.82790954
LLNW,limelight-networks,Internet Services,3/31/2014,$-0.04B,$0.23B,-14.3,2.517482517,8.108108108,26.80639823,13.7617209,11.96911197,3.557639272,11.96911197,23.82790954
LLNW,limelight-networks,Internet Services,12/31/2013,$-0.04B,$0.24B,-16.65,-14.11411411,8.323396136,25.0655855,15.50202719,10.92296685,3.839732888,10.92296685,25.42332459
LLNW,limelight-networks,Internet Services,9/30/2013,$-0.04B,$0.24B,-12.17,36.81183237,8.323396136,25.0655855,15.50202719,10.92296685,3.839732888,10.92296685,25.42332459
LLNW,limelight-networks,Internet Services,6/30/2013,$-0.03B,$0.25B,-11.4,6.754385965,8.323396136,25.0655855,15.50202719,10.92296685,3.839732888,10.92296685,25.42332459
LLNW,limelight-networks,Internet Services,3/31/2013,$-0.03B,$0.26B,-11.64,-2.06185567,8.323396136,25.0655855,15.50202719,10.92296685,3.839732888,10.92296685,25.42332459
LLNW,limelight-networks,Internet Services,12/31/2012,$-0.03B,$0.27B,-9.52,22.26890756,8.122992198,24.16245984,14.47911886,10.62413951,4.520422212,10.62413951,27.46672786
LLNW,limelight-networks,Internet Services,9/30/2012,$-0.03B,$0.28B,-7.2,32.22222222,8.122992198,24.16245984,14.47911886,10.62413951,4.520422212,10.62413951,27.46672786
LLNW,limelight-networks,Internet Services,6/30/2012,$-0.02B,$0.28B,-8.18,-11.9804401,8.122992198,24.16245984,14.47911886,10.62413951,4.520422212,10.62413951,27.46672786
LLNW,limelight-networks,Internet Services,3/31/2012,$-0.03B,$0.30B,-8.01,2.122347066,8.122992198,24.16245984,14.47911886,10.62413951,4.520422212,10.62413951,27.46672786
LLNW,limelight-networks,Internet Services,12/31/2011,$-0.03B,$0.31B,-8.03,-0.249066002,7.88094739,25.06811989,18.46573045,9.536784741,4.548312723,9.536784741,24.96332006
LLNW,limelight-networks,Internet Services,9/30/2011,$-0.03B,$0.33B,-12.29,-34.6623271,7.88094739,25.06811989,18.46573045,9.536784741,4.548312723,9.536784741,24.96332006
LLNW,limelight-networks,Internet Services,6/30/2011,$-0.04B,$0.33B,-8.78,39.97722096,7.88094739,25.06811989,18.46573045,9.536784741,4.548312723,9.536784741,24.96332006
LLNW,limelight-networks,Internet Services,3/31/2011,$-0.02B,$0.33B,-8.29,5.910735826,7.88094739,25.06811989,18.46573045,9.536784741,4.548312723,9.536784741,24.96332006
MCHX,marchex,Internet Services,12/31/2018,$-0.00B,$0.10B,-3.43,-1.457725948,7.506053269,21.86094777,9.339328952,16.56866136,3.320650294,16.56866136,24.83569699
MCHX,marchex,Internet Services,9/30/2018,$-0.00B,$0.09B,-4.26,-19.48356808,7.506053269,21.86094777,9.339328952,16.56866136,3.320650294,16.56866136,24.83569699
MCHX,marchex,Internet Services,6/30/2018,$-0.00B,$0.09B,-3.98,7.035175879,7.506053269,21.86094777,9.339328952,16.56866136,3.320650294,16.56866136,24.83569699
MCHX,marchex,Internet Services,3/31/2018,$-0.00B,$0.09B,-6.62,-39.87915408,7.506053269,21.86094777,9.339328952,16.56866136,3.320650294,16.56866136,24.83569699
MCHX,marchex,Internet Services,12/31/2017,$-0.01B,$0.09B,-10.76,-38.47583643,7.30994152,21.70240416,8.512020793,16.56920078,4.678362573,16.56920078,24.6588694
MCHX,marchex,Internet Services,9/30/2017,$-0.01B,$0.11B,-15.08,-28.64721485,7.30994152,21.70240416,8.512020793,16.56920078,4.678362573,16.56920078,24.6588694
MCHX,marchex,Internet Services,6/30/2017,$-0.02B,$0.11B,-73.91,-79.59680693,7.30994152,21.70240416,8.512020793,16.56920078,4.678362573,16.56920078,24.6588694
MCHX,marchex,Internet Services,3/31/2017,$-0.09B,$0.11B,-63.55,16.30212431,7.30994152,21.70240416,8.512020793,16.56920078,4.678362573,16.56920078,24.6588694
MCHX,marchex,Internet Services,12/31/2016,$-0.09B,$0.11B,-51.23,24.04840914,6.648666892,24.19844752,8.943638205,15.99730003,3.509956126,15.99730003,24.70469119
MCHX,marchex,Internet Services,9/30/2016,$-0.08B,$0.12B,-42.48,20.59792844,6.648666892,24.19844752,8.943638205,15.99730003,3.509956126,15.99730003,24.70469119
MCHX,marchex,Internet Services,6/30/2016,$-0.07B,$0.12B,9.7,-537.9381443,6.648666892,24.19844752,8.943638205,15.99730003,3.509956126,15.99730003,24.70469119
MCHX,marchex,Internet Services,3/31/2016,$0.02B,$0.19B,15.04,-35.50531915,6.648666892,24.19844752,8.943638205,15.99730003,3.509956126,15.99730003,24.70469119
